ARGO_POSITION_LATITUDE,buoyId,type,ARGO_POSITION_LONGITUDE,status
-6.0984,2025-09-09 03:19:33,argo,90.7267,new
14.6666667,2025-02-24 14:21:46,argo,89.5666667,new
-56.0166667,2025-09-16 06:56:46,argo,72.4,new
12.05,2025-09-11 07:07:19,argo,68.15,new
17.3,2025-09-09 07:08:31,argo,69.2833333,new
-24.3833333,2025-09-09 08:01:55,argo,70.0,new
-5.5682217,2025-09-13 22:58:00,argo,52.0302483,new
-40.1245983,2025-09-15 10:23:30,argo,77.2232483,new
-43.640205,2025-09-08 23:23:30,argo,29.6303767,new
-43.8709233,2025-09-11 05:34:30,argo,65.5298933,new
18.2547883,2025-09-08 01:58:30,argo,59.2691917,new
-32.3381133,2025-09-14 01:14:00,argo,34.424225,new
-7.1538083,2025-09-12 20:19:00,argo,48.9155,new
-56.5549667,2025-01-02 08:08:00,argo,50.6856133,new
7.943325,2025-01-02 18:45:30,argo,51.6141717,new
11.8686433,2025-01-02 15:27:30,argo,46.9481083,new
23.8809833,2025-01-02 18:52:30,argo,63.3915983,new
22.93572,2025-01-02 06:04:30,argo,59.3914033,new
-2.31202,2025-09-13 13:49:30,argo,82.45572,new
-9.7206267,2025-09-12 04:30:20,argo,55.2521067,new
-18.685205,2025-09-11 04:50:20,argo,38.3771167,new
-0.52508,2025-09-06 23:45:20,argo,78.9270567,new
-28.0033017,2025-09-15 18:42:30,argo,64.674125,new
-44.2570554,2025-01-10 11:19:34,argo,84.8312176,new
-63.8136117,2025-01-05 12:38:00,argo,65.09245,new
-47.8795417,2025-09-12 04:46:30,argo,103.9925933,new
-50.146625,2025-09-13 07:29:20,argo,92.9974317,new
-60.6311233,2025-01-09 03:51:20,argo,46.4297117,new
-60.1403224,2025-01-06 01:58:20,argo,48.4987111,new
-58.7175806,2025-09-12 12:28:20,argo,58.5939243,new
-43.65088,2025-09-15 07:31:20,argo,100.1299733,new
-35.68977,2025-01-11 04:44:20,argo,27.5384,new
-40.9574533,2025-09-11 17:32:20,argo,90.77887,new
-42.5120517,2025-09-15 07:47:20,argo,47.7348317,new
-46.5676433,2025-09-15 17:49:20,argo,108.2936583,new
-44.5625633,2025-09-13 02:13:20,argo,45.31929,new
-51.2174517,2025-09-14 05:33:20,argo,64.8233167,new
-62.17846,2025-04-25 21:34:20,argo,20.7131967,new
-51.6834545,2025-09-10 15:28:20,argo,26.6824386,new
-44.34974,2025-09-10 22:49:20,argo,42.6176367,new
-36.5753617,2025-09-16 09:44:20,argo,62.1402867,new
-43.9508983,2025-09-07 07:36:20,argo,72.3678717,new
-50.36857,2025-09-08 06:47:20,argo,44.37872,new
-48.4082433,2025-09-14 07:53:20,argo,141.2159667,new
-42.32352,2025-09-14 08:04:39,argo,80.70429,new
-39.8739933,2025-09-10 19:47:20,argo,24.933025,new
-39.9082,2025-09-15 05:17:20,argo,46.7560633,new
-63.1856433,2025-01-13 15:44:20,argo,20.1943667,new
-63.8078617,2025-01-11 21:16:20,argo,39.8777717,new
-51.5281867,2025-09-08 21:11:20,argo,79.6464583,new
-53.3063883,2025-09-17 00:17:20,argo,91.1611,new
-34.163165,2025-09-07 04:39:20,argo,47.0236417,new
-48.3622633,2025-09-15 21:50:40,argo,30.0016817,new
-33.4875717,2025-09-16 18:36:30,argo,95.9060783,new
-61.6254967,2025-01-11 07:47:30,argo,78.85267,new
